Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173692,1259930116,G,43.9451,-1.78768,-25.665,35.6268,25.7272,1.12911,-1.64034,-1,G,20.4962,-1.02865,17.0265,11.3633,17.0575,0.624737,1.63114,-1,43.1515
173692,1264943156,G,35.883,15.5625,3.67928,32.1224,15.9915,1.44753,0.232158,1,G,15.5753,1.24432,-15.1583,3.35504,15.2093,0.218841,-1.48889,1,31.2261
173692,1266003195,G,43.5809,-5.72182,15.3491,-40.385,16.3809,-1.63429,1.92762,1,G,27.0624,10.017,-17.4224,-18.124,20.0968,-0.810233,-1.049,1,39.299
173692,1265664863,G,39.5963,18.4589,1.74267,34.987,18.5409,1.39193,0.0941292,1,G,31.2579,-16.8085,24.5383,-9.61216,29.7431,-0.317796,2.17138,1,60.688
173692,1266181590,G,29.1735,-13.642,-8.22508,24.4403,15.9297,1.21362,-2.59902,-1,G,21.3626,16.0451,-5.97483,12.7752,17.1215,0.690065,-0.356468,-1,31.008
173692,1267355851,G,52.8904,-8.32894,-23.0459,-46.8711,24.5048,-1.40391,-1.9176,-1,G,21.3825,10.0055,11.2911,15.1525,15.0864,0.884469,0.845689,-1,66.1015
173692,1267436627,G,49.8284,-6.35287,18.9595,-45.6403,19.9955,-1.56329,1.89411,-1,G,75.6377,6.89029,-20.1563,-72.5762,21.3015,-1.93988,-1.24141,-1,42.0106
173692,1269889331,G,64.7084,31.6967,-9.96639,-55.5262,88.3961,-1.2831,-0.311164,1,G,29.1652,-12.9264,23.5412,-11.3718,26.8566,-0.411697,2.07295,1,61.6467
173692,1270437568,G,76.4229,-6.58594,15.6421,74.5145,16.972,2.1853,1.96931,-1,G,18.5853,2.81446,-18.0592,-3.36858,18.2772,-0.183278,-1.41619,-1,62.8073
173692,1271866373,G,43.5851,-18.6843,15.3349,-36.2683,17.6864,-1.19474,2.45701,1,G,19.5267,7.8986,-14.4586,10.4805,16.0314,0.599518,-1.07051,1,56.5772
173692,1272766018,G,16.5602,6.41297,15.1276,2.06396,16.4308,0.125287,1.16984,1,G,16.5529,6.03107,15.2136,2.482,16.4338,0.150984,1.19335,1,0.61041
173692,1273123591,G,24.333,23.0842,4.28635,6.38965,23.4788,0.268893,0.183592,-1,G,21.0599,-10.7698,11.9324,-13.6065,16.0739,-0.768566,2.30503,-1,39.9216
173692,1274616464,G,22.7089,2.43387,-15.0068,16.8688,15.2029,0.956774,-1.41001,-1,G,30.7726,-8.74666,29.1312,-4.66981,30.416,-0.152935,1.86248,-1,49.7203
173692,1276629985,G,61.1692,6.02172,-22.1222,-56.7098,22.9272,-1.63734,-1.30503,1,G,41.0359,-8.94992,22.2644,-33.2885,23.9959,-1.13055,1.95301,1,48.3485
173692,1276930299,G,39.8045,24.4586,1.68338,-31.3581,24.5164,-1.06562,0.0687176,1,G,25.0646,-18.2721,-0.61595,-17.1456,18.2825,-0.836713,-3.1079,1,42.6143
173692,1278615521,G,25.3597,-8.59886,13.3249,19.7891,15.8585,1.04625,2.14388,-1,G,20.1717,9.66038,-16.2076,-7.13283,18.8682,-0.369564,-1.03329,-1,43.629
173692,1277958203,G,31.3193,-15.0984,-22.9437,-15.0504,27.4659,-0.523698,-2.15282,1,G,31.9201,22.3156,22.7438,-1.90098,31.8632,-0.0596253,0.794901,1,60.4958
173692,1280463280,G,30.6384,0.480986,-15.0933,-26.6582,15.101,-1.33348,-1.53894,-1,G,42.2042,18.1153,17.2838,-33.9748,25.0378,-1.1127,0.761911,-1,35.7639
173692,1281056950,G,55.4266,17.7095,-12.4119,-51.0335,21.6259,-1.59388,-0.611304,-1,G,31.7153,-21.898,10.9675,20.1504,24.491,0.750347,2.67727,-1,81.3653
173692,1280733825,G,34.2609,22.8421,2.03203,-25.4541,22.9323,-0.957033,0.0887264,1,G,34.9685,-27.8945,6.52369,-20.053,28.6472,-0.652664,2.91185,1,51.2162
173692,1282223987,G,30.9728,-13.9314,-6.23843,-26.95,15.2644,-1.33358,-2.72057,1,G,24.0122,-4.63424,-19.8332,12.7179,20.3674,0.589657,-1.80034,1,42.3839
173692,1283589371,G,19.6055,14.6587,6.76292,11.1243,16.1435,0.643704,0.43226,-1,G,30.357,-21.8164,-4.0573,-20.7151,22.1905,-0.83357,-2.95772,-1,48.4326
173692,1284992179,G,44.7799,8.80538,16.6022,-40.6455,18.7927,-1.51417,1.08315,1,G,18.0325,-17.4002,4.32948,-1.91028,17.9307,-0.106336,2.89773,1,40.2789
173692,1286531997,G,28.0381,-10.2814,-11.1433,-23.5848,15.1618,-1.22518,-2.31599,1,G,46.5514,18.1522,24.06,35.4772,30.1394,1.00123,0.924451,1,72.065
173692,1290691515,G,35.6063,1.87793,-20.3737,-29.1408,18.5906,-1.15187,-1.4781,1,G,19.7168,4.4301,15.3215,-11.5918,15.9491,-0.674483,1.28933,1,36.554
173692,1293091020,G,18.6614,-14.8708,-7.92749,-8.01562,16.8519,-0.459328,-2.65182,-1,G,15.6721,11.7811,9.62173,3.77257,15.2109,0.245542,0.684847,-1,33.8876
173692,1298181477,G,30.427,15.3537,-5.44459,-25.6985,16.2905,-1.23701,-0.340777,-1,G,22.7309,-18.4919,12.2955,-4.85305,22.2065,-0.216838,2.55481,-1,42.8437
